道路名称,年份,路龄,车行道小修金�?车行道零星金�?车行道中修金�?掘路修复金额,前一年pci,车道面积,道路属性_主干�?道路属性_次干�?道路属性_快速路,道路属性_支路,pred,,,,,,,
188,2022,12,0.9835449,21.1511,0,0,80.39,207217,1,0,0,0,83.45229215,85.12,1.667707852
189,2022,12,0,1.1563,0,0,90.78,45360.6,1,0,0,0,86.87191524,85.79,-1.081915238
190,2022,12,0,0.8125,0,0,90.3,28312.8,1,0,0,0,86.64019741,88.51,1.869802594
191,2022,12,0,1.990785,0,0,84.35,208107,1,0,0,0,86.26807506,89.24,2.971924943
192,2022,12,0.38,0,0,0,88.23,337188.9876,0,0,1,0,90.29484474,91.95,1.655155256
193,2022,12,0.38,0,0,0,88.23,337188.9876,0,0,1,0,90.29484474,91.95,1.655155256
194,2022,12,0.38,0,0,0,88.23,337188.9876,0,0,1,0,90.29484474,91.95,1.655155256
195,2022,12,6.054525,2.315238,0,0,87.04,71308.9,1,0,0,0,85.8227488,72.78,-13.0427488
196,2022,13,2.0925702,1.2201,0,1.06,84.27,33086,1,0,0,0,84.75560482,75.89,-8.865604815
197,2022,13,11.49,1.07781,140.48,0,86.17,87205.5,1,0,0,0,85.60291566,95.04,9.437084342
198,2022,13,0,0.31,0,0,98.76,44920.5,1,0,0,0,89.04789043,80.12,-8.927890427
199,2022,13,0,0,0,0,93.47647893,10658,1,0,0,0,87.32998699,81.15,-6.179986994
200,2022,13,9.31,0.353424,86.14,0,88.04,108806,1,0,0,0,86.39269137,91.37,4.977308626
201,2022,13,0,0.5654,707.2396,0,77.52,50653.8,1,0,0,0,83.10033172,94.14,11.03966828
202,2022,13,22.45700558,2.119495,0,0,93.13,40080,1,0,0,0,86.88091148,86.77,-0.110911477
203,2022,13,13.59912288,3.893,0,0,87.76,84760,0,1,0,0,85.28727854,86.84,1.552721457
204,2022,13,0,0,0,0,70.42,13692.5,0,1,0,0,79.95480532,79.41,-0.544805318
205,2022,14,0,0.47286,0,0,86.56,20249.29821,1,0,0,0,85.24795732,85.29,0.042042683
206,2022,14,0,0,0,0,84.87,80694.4,1,0,0,0,85.31915847,72.13,-13.18915847
207,2022,14,0,0,0,0,84.87,80694.4,1,0,0,0,85.31915847,72.13,-13.18915847
208,2022,14,0,0,0,0,90.05,20268,1,0,0,0,86.28299498,80.39,-5.892994981
209,2022,14,0.2461,13.435425,0,0,81.29,111034.2,1,0,0,0,83.27183248,90.78,7.508167524
210,2022,14,0.2264,9.547328,0,0,77.63,118035.5791,1,0,0,0,82.70518388,90.3,7.59481612
211,2022,14,0,4.16,0,0,72.38,16353,1,0,0,0,80.90285861,84.35,3.447141391
212,2022,14,0.14,0.385503,0,0,85.08,8744.5,0,1,0,0,84.25287529,88.23,3.977124708
213,2022,14,0,0,0,0,84.8,14269.9,0,1,0,0,84.26747676,87.04,2.772523235
214,2022,14,2.8608,11.046272,0,0.651161,83.07,242814.25,1,0,0,0,84.9862429,84.27,-0.7162429
215,2022,14,2.8608,11.046272,0,0.651161,83.07,242814.25,1,0,0,0,84.9862429,84.27,-0.7162429
216,2022,14,29.9039,0.834716,0,0,99.08,57460.55,1,0,0,0,88.51042239,86.17,-2.340422386
217,2022,14,0,0.034815,0,0,68.52,72843.282,1,0,0,0,80.75336083,98.76,18.00663917
218,2022,14,0.8644,0.24054,0,0,80.73,12301.98,1,0,0,0,83.55860998,93.47647893,9.917868954
219,2022,14,21.0948,2.924249,0,3.3235789,83.54,83082.81,1,0,0,0,84.39109295,88.04,3.648907053
220,2022,14,21.0948,2.924249,0,3.3235789,83.54,83082.81,1,0,0,0,84.39109295,88.04,3.648907053
221,2022,14,2.8222,10.5289,0,0,88.75,141018.2,1,0,0,0,85.75732704,77.52,-8.237327039
222,2022,14,51.4337,0.698199,0,0.2325575,92.55,169285.72,1,0,0,0,87.24954828,93.13,5.88045172
223,2022,14,0.12302,2.780769,0,0,79.93,63039.4,1,0,0,0,83.5174278,87.76,4.242572198
224,2022,14,0.52,4.3362372,0,0,93.27,64400,1,0,0,0,87.05891559,70.42,-16.63891559
