道路名称,年份,路龄,车行道小修金额,车行道零星金额,车行道中修金额,掘路修复金额,前一年pci,车道面积,道路属性_主干路,道路属性_次干路,道路属性_快速路,道路属性_支路,pred
121.0,2016.0,16.0,0.0,0.9980000000000001,0.0,0.0,84.98,34028.0,1.0,0.0,0.0,0.0,84.56617875933648
122.0,2016.0,16.0,0.0,0.7828,0.0,0.0,75.94,57420.3,1.0,0.0,0.0,0.0,82.27830041170121
123.0,2016.0,16.0,14.464685999999999,2.61007,0.0,0.0,81.07,15289.500000000002,1.0,0.0,0.0,0.0,82.98400757074356
124.0,2016.0,16.0,17.3186,0.567,32.7305,158.922,72.98,41702.0,1.0,0.0,0.0,0.0,80.85484715580941
125.0,2016.0,16.0,12.7366,1.9601999999999997,0.0,0.0,80.69,20532.0,1.0,0.0,0.0,0.0,83.00865517497063
126.0,2016.0,16.0,5.4147,2.7029,0.0,1.5344,87.08000000000001,45576.0,1.0,0.0,0.0,0.0,84.99344287633897
127.0,2016.0,16.0,27.9212,1.6858000000000002,36.2161,0.0,92.38,61099.0,1.0,0.0,0.0,0.0,86.37105661392214
128.0,2016.0,16.0,10.6387,0.47259999999999996,0.0,0.0,91.49,16935.0,1.0,0.0,0.0,0.0,86.15674411535264
129.0,2016.0,16.0,41.3832,0.4009,0.0,0.0,84.89,36480.0,1.0,0.0,0.0,0.0,84.10610922098161
130.0,2016.0,16.0,0.0,0.0,31.2904,0.0,91.26,94500.0,1.0,0.0,0.0,0.0,86.91277149677278
131.0,2016.0,16.0,0.0,0.0,0.0,0.0,92.76,3660.0,1.0,0.0,0.0,0.0,86.61904529809952
132.0,2016.0,16.0,0.0,0.0,0.0,0.0,90.68,12328.5,1.0,0.0,0.0,0.0,86.09933835983277
133.0,2016.0,16.0,0.0,0.0,0.0,0.0,94.66,12657.4,1.0,0.0,0.0,0.0,87.22987895965578
134.0,2016.0,16.0,46.7082,0.5686,0.0,0.0,79.86,56649.799999999996,1.0,0.0,0.0,0.0,82.85894592046738
135.0,2016.0,16.0,42.2862,2.0214,0.0,0.0,88.44,58399.2,1.0,0.0,0.0,0.0,85.06122316598893
136.0,2016.0,16.0,26.2421,4.9102,0.0,151.197,65.84,68054.0,1.0,0.0,0.0,0.0,78.80774507641792
137.0,2016.0,16.0,0.0,1.6285,0.0,0.0,73.49,36398.0,1.0,0.0,0.0,0.0,81.33645193815231
138.0,2016.0,16.0,0.0,0.8995000000000001,60.9251,0.0,80.52,42411.4,1.0,0.0,0.0,0.0,83.40134995102882
139.0,2016.0,16.0,49.1869,0.3119,41.3179,0.0,80.7,20376.0,1.0,0.0,0.0,0.0,82.77681046009064
140.0,2016.0,16.0,22.7171,2.1669,0.0,79.5196,87.82,20742.8,1.0,0.0,0.0,0.0,84.63412076234819
141.0,2016.0,16.0,0.0,5.0144,0.0,0.0,83.0,53021.2,1.0,0.0,0.0,0.0,83.76285892724992
142.0,2016.0,16.0,59.6897,0.254,0.0,1.6303,83.34,43547.0,1.0,0.0,0.0,0.0,83.55471392750741
143.0,2016.0,16.0,10.9032,0.2743,0.0,0.0,88.91,74403.0,1.0,0.0,0.0,0.0,85.91466170072556
144.0,2016.0,16.0,39.8323,1.6612,0.0,0.6028,83.41,73991.5,1.0,0.0,0.0,0.0,83.90931898713113
145.0,2016.0,16.0,17.2086,0.249,0.0,0.0,94.2,27428.4,1.0,0.0,0.0,0.0,86.92145426034928
146.0,2016.0,16.0,0.0,0.3523,0.0,2.63,94.89,15917.399999999998,1.0,0.0,0.0,0.0,87.27441730737686
147.0,2016.0,16.0,0.0,0.2026,0.0,0.0,83.37,9662.0,1.0,0.0,0.0,0.0,83.99309397220613
148.0,2016.0,16.0,0.0,2.680544,0.0,0.0,91.8,23100.0,1.0,0.0,0.0,0.0,86.21157987236978
149.0,2016.0,16.0,0.0,2.891966,0.0,237.0,97.24,105362.9,1.0,0.0,0.0,0.0,87.72456262111665
150.0,2016.0,16.0,0.0,1.1805,39.6589,0.0,79.57,59846.4,1.0,0.0,0.0,0.0,83.25889291882515
151.0,2016.0,16.0,48.60807,1.2596,102.302,0.0,87.58,26938.8,1.0,0.0,0.0,0.0,84.5744012618065
152.0,2016.0,16.0,53.6647,0.6225,0.0,0.0,86.35,32341.1,1.0,0.0,0.0,0.0,84.29506257653237
153.0,2016.0,16.0,18.7203,1.8469,0.0,0.0,71.13,104639.2,1.0,0.0,0.0,0.0,81.10775441408157
154.0,2016.0,16.0,0.27897,0.0,0.0,0.0,83.33,28597.3,1.0,0.0,0.0,0.0,84.1602135360241
155.0,2016.0,16.0,10.5469,0.0,0.0,0.0,92.08,49722.12,1.0,0.0,0.0,0.0,86.63338554143907
156.0,2016.0,16.0,0.0,0.22779999999999997,0.0,0.0,89.11,8372.3,1.0,0.0,0.0,0.0,85.59798215627671
157.0,2016.0,16.0,0.0,2.2619,0.0,0.0,89.02,164853.0,1.0,0.0,0.0,0.0,86.59677861213684
158.0,2016.0,16.0,0.0,0.3524,0.0,0.0,81.18,4309.0,1.0,0.0,0.0,0.0,83.31682113289833
159.0,2016.0,16.0,0.0,1.2449,0.0,0.0,94.71,7009.0,1.0,0.0,0.0,0.0,87.06126665711403
160.0,2016.0,16.0,92.3925,1.8356999999999999,0.0,0.0,77.87,17564.0,1.0,0.0,0.0,0.0,81.49601575613022
161.0,2016.0,16.0,0.0,1.5382,30.592599999999997,0.0,78.27,16856.2,1.0,0.0,0.0,0.0,82.49115500211715
162.0,2016.0,16.0,107.4152,1.2633,77.1563,0.0,80.03,31121.7,1.0,0.0,0.0,0.0,82.06769985675811
163.0,2016.0,16.0,0.0,1.9053000000000002,0.0,0.0,73.41,13840.000000000002,1.0,0.0,0.0,0.0,81.08560465931892
164.0,2016.0,16.0,0.0,0.1846,47.6902,0.0,87.21,38938.7,1.0,0.0,0.0,0.0,85.31663573741913
165.0,2016.0,16.0,57.5743,0.905,100.113,0.0,62.49,93131.0,1.0,0.0,0.0,0.0,78.60433703422547
166.0,2016.0,16.0,0.0,0.8649000000000001,93.4333,0.0,67.36,12175.6,1.0,0.0,0.0,0.0,79.51270337820053
167.0,2016.0,16.0,0.0,0.6457,0.0,0.0,84.06,10632.0,1.0,0.0,0.0,0.0,84.1484333395958
168.0,2016.0,16.0,0.0,1.9095,53.4439,0.0,85.54,109200.0,1.0,0.0,0.0,0.0,85.2408593440056
